00400000	MZ	"MZ"	char[2]
00a0c0c0	GetNumBattlefieldScores	"GetNumBattlefieldScores"	ds
00a0c0d8	RequestBattlefieldScoreData	"RequestBattlefieldScoreData"	ds
00a0c0f4	CloseBattlefield	"CloseBattlefield"	ds
00a0c108	GetBattlefieldTimeWaited	"GetBattlefieldTimeWaited"	ds
00a0c124	GetBattlefieldEstimatedWaitTime	"GetBattlefieldEstimatedWaitTime"	ds
00a0c144	GetBattlefieldInstanceRunTime	"GetBattlefieldInstanceRunTime"	ds
00a0c164	GetBattlefieldInstanceExpiration	"GetBattlefieldInstanceExpiration"	ds
00a0c188	GetBattlefieldPortExpiration	"GetBattlefieldPortExpiration"	ds
00a0c1a8	GetBattlefieldStatus	"GetBattlefieldStatus"	ds
00a0c1c0	AcceptBattlefieldPort	"AcceptBattlefieldPort"	ds
00a0c1d8	GetSelectedBattlefield	"GetSelectedBattlefield"	ds
00a0c1f0	SetSelectedBattlefield	"SetSelectedBattlefield"	ds
00a0c208	JoinBattlefield	"JoinBattlefield"	ds
00a0c218	IsActiveBattlefieldArena	"IsActiveBattlefieldArena"	ds
00a0c234	IsBattlefieldArena	"IsBattlefieldArena"	ds
00a0c248	GetBattlefieldInstanceInfo	"GetBattlefieldInstanceInfo"	ds
00a0c264	GetBattlefieldInfo	"GetBattlefieldInfo"	ds
00a0c278	GetNumBattlefields	"GetNumBattlefields"	ds
00a0c28c	%d%b%b	"%d%b%b"	ds
00a0c294	CLEARED_AFK	"CLEARED_AFK"	ds
00a0c2a0	%d%b%b%b%b	"%d%b%b%b%b"	ds
00a0c2ac	Usage: GetBattlefieldPortExpiration(index)	"Usage: GetBattlefieldPortExpiration(index)"	ds
00a0c2d8	Usage: GetBattlefieldEstimatedWaitTime(index)	"Usage: GetBattlefieldEstimatedWaitTime(index)"	ds
00a0c308	Usage: GetBattlefieldTimeWaited(index)	"Usage: GetBattlefieldTimeWaited(index)"	ds
00a0c330	Usage: GetBattlefieldStatData(playerIndex, statIndex)	"Usage: GetBattlefieldStatData(playerIndex, statIndex)"	ds
00a0c368	Usage: GetBattlefieldTeamInfo(index)	"Usage: GetBattlefieldTeamInfo(index)"	ds
00a0c390	arenapet%d	"arenapet%d"	ds
00a0c39c	unseen	"unseen"	ds
00a0c3a4	arena%d	"arena%d"	ds
00a0c3ac	.\BattlefieldInfo.cpp	".\\BattlefieldInfo.cpp"	ds
00a0c3c4	destroyed	"destroyed"	ds
00a0c3e0	Usage: SetSelectedBattlefield(index)	"Usage: SetSelectedBattlefield(index)"	ds
00a0c408	error	"error"	ds
00a0c410	active	"active"	ds
00a0c418	confirm	"confirm"	ds
00a0c420	queued	"queued"	ds
00a0c428	Usage: GetBattlefieldStatus(index)	"Usage: GetBattlefieldStatus(index)"	ds
00a0c44c	Usage: GetBattlefieldScore(index)	"Usage: GetBattlefieldScore(index)"	ds
00a0c470	Usage: GetBattlefieldStatInfo(index)	"Usage: GetBattlefieldStatInfo(index)"	ds
00a0c498	Usage: GetBattlefieldPosition(index)	"Usage: GetBattlefieldPosition(index)"	ds
00a0c4c0	Usage: GetBattlefieldVehicleInfo(index)	"Usage: GetBattlefieldVehicleInfo(index)"	ds
00a0c4e8	Usage: GetWorldPVPQueueStatus(index)	"Usage: GetWorldPVPQueueStatus(index)"	ds
00a0c510	cleared	"cleared"	ds
00a0c518	AllianceFlag	"AllianceFlag"	ds
00a0c528	HordeFlag	"HordeFlag"	ds
00a0c534	Usage: GetBattlefieldInfo(index)	"Usage: GetBattlefieldInfo(index)"	ds
00a0c558	Usage: JoinBattlefield(index)	"Usage: JoinBattlefield(index)"	ds
00a0c578	Usage: AcceptBattlefieldPort(index, accept)	"Usage: AcceptBattlefieldPort(index, accept)"	ds
00a0c5a4	Usage: GetBattlefieldFlagPosition(index)	"Usage: GetBattlefieldFlagPosition(index)"	ds
00a0c5e0	healing	"healing"	ds
00a0c5e8	damage	"damage"	ds
00a0c5f4	class	"class"	ds
00a0c600	deaths	"deaths"	ds
00a0c608	kills	"kills"	ds
00a0c610	Usgae: SortBattlefieldScoreData("type")	"Usgae: SortBattlefieldScoreData(\"type\")"	ds
00a0c638	Usage: GetBattlegroundInfo(index)	"Usage: GetBattlegroundInfo(index)"	ds
00a0c65c	Usage: RequestBattlegroundInstanceInfo(index)	"Usage: RequestBattlegroundInstanceInfo(index)"	ds
00a0c68c	IsPlayerResolutionAvailable	"IsPlayerResolutionAvailable"	ds
00a0c6a8	IsStereoVideoAvailable	"IsStereoVideoAvailable"	ds
00a0c6c0	SetTerrainMip	"SetTerrainMip"	ds
00a0c6d0	GetTerrainMip	"GetTerrainMip"	ds
00a0c6e0	SetGamma	"SetGamma"	ds
00a0c6ec	GetGamma	"GetGamma"	ds
00a0c6f8	GetVideoCaps	"GetVideoCaps"	ds
00a0c708	SetMultisampleFormat	"SetMultisampleFormat"	ds
00a0c720	GetCurrentMultisampleFormat	"GetCurrentMultisampleFormat"	ds
00a0c73c	GetMultisampleFormats	"GetMultisampleFormats"	ds
00a0c754	SetupFullscreenScale	"SetupFullscreenScale"	ds
00a0c76c	GetRefreshRates	"GetRefreshRates"	ds
00a0c77c	SetScreenResolution	"SetScreenResolution"	ds
00a0c790	GetCurrentResolution	"GetCurrentResolution"	ds
00a0c7a8	GetScreenResolutions	"GetScreenResolutions"	ds
00a0c7e0	gamma	"gamma"	ds
00a0c7e8	Usage: SetGamma(value)	"Usage: SetGamma(value)"	ds
00a0c800	shadowLevel	"shadowLevel"	ds
00a0c80c	Usage: SetTerrainMip(value)	"Usage: SetTerrainMip(value)"	ds
00a0c828	Usage: SetupFullscreenScale(frame)	"Usage: SetupFullscreenScale(frame)"	ds
00a0c84c	SetupFullscreenScale(): Wrong object type, expected frame	"SetupFullscreenScale(): Wrong object type, expected frame"	ds
00a0c888	SetupFullscreenScale(): Couldn't find 'this' in frame object	"SetupFullscreenScale(): Couldn't find 'this' in frame object"	ds
00a0c8cb	?gxMultisample	"?gxMultisample"	ds
00a0c8dc	gxDepthBits	"gxDepthBits"	ds
00a0c8e8	gxColorBits	"gxColorBits"	ds
00a0c8f4	gxApi	"gxApi"	ds
00a0c8fc	AccountMsg_SetMsgRead	"AccountMsg_SetMsgRead"	ds
00a0c914	AccountMsg_GetBody	"AccountMsg_GetBody"	ds
00a0c928	AccountMsg_LoadBody	"AccountMsg_LoadBody"	ds
00a0c93c	AccountMsg_GetHeaderPriority	"AccountMsg_GetHeaderPriority"	ds
00a0c95c	AccountMsg_GetHeaderSubject	"AccountMsg_GetHeaderSubject"	ds
00a0c978	AccountMsg_GetIndexNextUnreadMsg	"AccountMsg_GetIndexNextUnreadMsg"	ds
00a0c99c	AccountMsg_GetIndexHighestPriorityUnreadMsg	"AccountMsg_GetIndexHighestPriorityUnreadMsg"	ds
00a0c9c8	AccountMsg_GetNumUnreadUrgentMsgs	"AccountMsg_GetNumUnreadUrgentMsgs"	ds
00a0c9ec	AccountMsg_GetNumUnreadMsgs	"AccountMsg_GetNumUnreadMsgs"	ds
00a0ca08	AccountMsg_GetNumTotalMsgs	"AccountMsg_GetNumTotalMsgs"	ds
00a0ca24	AccountMsg_LoadHeaders	"AccountMsg_LoadHeaders"	ds
00a0ca50	subject	"subject"	ds
00a0ca58	priority	"priority"	ds
00a0ca64	&messageId=	"&messageId="	ds
00a0ca70	&sessionKeyHash=	"&sessionKeyHash="	ds
00a0ca84	?accountName=	"?accountName="	ds
00a0ca94	ACCOUNT_MESSAGE_BODY_NO_READ_URL	"ACCOUNT_MESSAGE_BODY_NO_READ_URL"	ds
00a0cab8	AccountMsg_GetNumTotalMsgs() failed because the headers are not loaded	"AccountMsg_GetNumTotalMsgs() failed because the headers are not loaded"	ds
00a0cb00	Usage: AccountMsg_GetHeaderSubject(number) failed because the number is out of range	"Usage: AccountMsg_GetHeaderSubject(number) failed because the number is out of range"	ds
00a0cb58	Usage: AccountMsg_GetHeaderSubject(number)	"Usage: AccountMsg_GetHeaderSubject(number)"	ds
00a0cb88	AccountMsg_GetHeaderSubject() failed because the headers are not loaded	"AccountMsg_GetHeaderSubject() failed because the headers are not loaded"	ds
00a0cbd0	Usage: AccountMsg_GetHeaderPriority(number) failed because the number is out of range	"Usage: AccountMsg_GetHeaderPriority(number) failed because the number is out of range"	ds
00a0cc28	Usage: AccountMsg_GetHeaderPriority(number)	"Usage: AccountMsg_GetHeaderPriority(number)"	ds
00a0cc58	AccountMsg_GetHeaderPriority() failed because the headers are not loaded	"AccountMsg_GetHeaderPriority() failed because the headers are not loaded"	ds
00a0cca8	Usage: AccountMsg_LoadBody(number) failed because the number is out of range	"Usage: AccountMsg_LoadBody(number) failed because the number is out of range"	ds
00a0ccf8	AccountMsg_LoadHeaders() failed	"AccountMsg_LoadHeaders() failed"	ds
00a0cd18	Usage: AccountMsg_LoadBody(number)	"Usage: AccountMsg_LoadBody(number)"	ds
00a0cd40	AccountMsg_LoadBody() failed because the headers are not loaded	"AccountMsg_LoadBody() failed because the headers are not loaded"	ds
00a0cd80	AccountMsg_GetBody() failed because the body was not loaded	"AccountMsg_GetBody() failed because the body was not loaded"	ds
00a0cdbc	ACCOUNT_MESSAGE_READ_URL	"ACCOUNT_MESSAGE_READ_URL"	ds
00a0cdd8	AccountMsg_GetNumUnreadMsgs() failed because the headers are not loaded	"AccountMsg_GetNumUnreadMsgs() failed because the headers are not loaded"	ds
00a0ce20	Usage: AccountMsg_SetMsgRead(number) failed because the number is out of range	"Usage: AccountMsg_SetMsgRead(number) failed because the number is out of range"	ds
00a0ce70	Usage: AccountMsg_SetMsgRead(number) failed due to an URL error	"Usage: AccountMsg_SetMsgRead(number) failed due to an URL error"	ds
00a0ceb0	Usage: AccountMsg_SetMsgRead(number)	"Usage: AccountMsg_SetMsgRead(number)"	ds
00a0ced8	AccountMsg_SetMsgRead() failed because the headers are not loaded	"AccountMsg_SetMsgRead() failed because the headers are not loaded"	ds
00a0cf2c	ACCOUNT_MESSAGE_HEADERS_URL	"ACCOUNT_MESSAGE_HEADERS_URL"	ds
00a0cf48	opened	"opened"	ds
00a0cf50	KBSystem_GetServerNotice	"KBSystem_GetServerNotice"	ds
00a0cf6c	KBSystem_GetServerStatus	"KBSystem_GetServerStatus"	ds
00a0cf88	KBSystem_GetMOTD	"KBSystem_GetMOTD"	ds
00a0cf9c	KBArticle_GetData	"KBArticle_GetData"	ds
00a0cfb0	KBArticle_IsLoaded	"KBArticle_IsLoaded"	ds
00a0cfc4	KBArticle_BeginLoading	"KBArticle_BeginLoading"	ds
00a0cfdc	KBQuery_GetTotalArticleCount	"KBQuery_GetTotalArticleCount"	ds
00a0cffc	KBQuery_GetArticleHeaderData	"KBQuery_GetArticleHeaderData"	ds
00a0d01c	KBQuery_GetArticleHeaderCount	"KBQuery_GetArticleHeaderCount"	ds
00a0d03c	KBQuery_IsLoaded	"KBQuery_IsLoaded"	ds
00a0d050	KBQuery_BeginLoading	"KBQuery_BeginLoading"	ds
00a0d068	KBSetup_GetTotalArticleCount	"KBSetup_GetTotalArticleCount"	ds
00a0d088	KBSetup_GetArticleHeaderData	"KBSetup_GetArticleHeaderData"	ds
00a0d0a8	KBSetup_GetArticleHeaderCount	"KBSetup_GetArticleHeaderCount"	ds
00a0d0c8	KBSetup_GetSubCategoryData	"KBSetup_GetSubCategoryData"	ds
00a0d0e4	KBSetup_GetSubCategoryCount	"KBSetup_GetSubCategoryCount"	ds
00a0d100	KBSetup_GetCategoryData	"KBSetup_GetCategoryData"	ds
00a0d118	KBSetup_GetCategoryCount	"KBSetup_GetCategoryCount"	ds
00a0d134	KBSetup_GetLanguageData	"KBSetup_GetLanguageData"	ds
00a0d14c	KBSetup_GetLanguageCount	"KBSetup_GetLanguageCount"	ds
00a0d168	KBSetup_IsLoaded	"KBSetup_IsLoaded"	ds
00a0d17c	KBSetup_BeginLoading	"KBSetup_BeginLoading"	ds
00a0d194	http://support.worldofwarcraft.com/kb/	"http://support.worldofwarcraft.com/kb/"	ds
00a0d1bc	http://support.wowtaiwan.com.tw/kb/	"http://support.wowtaiwan.com.tw/kb/"	ds
00a0d1e0	http://cn.kbase.blizzard.com/kb/wow/	"http://cn.kbase.blizzard.com/kb/wow/"	ds
00a0d208	http://support.wow-europe.com/kb/	"http://support.wow-europe.com/kb/"	ds
00a0d22c	http://support.worldofwarcraft.co.kr/kb/	"http://support.worldofwarcraft.co.kr/kb/"	ds
00a0d268	.\KnowledgeBase.cpp	".\\KnowledgeBase.cpp"	ds
00a0d28c	&locale=	"&locale="	ds
00a0d298	&pageNumber=	"&pageNumber="	ds
00a0d2a8	&numArticles=	"&numArticles="	ds
00a0d2b8	?languageId=	"?languageId="	ds
00a0d2c8	getKBSetup.xml	"getKBSetup.xml"	ds
00a0d2d8	Languages	"Languages"	ds
00a0d2e4	caption	"caption"	ds
00a0d2ec	Categories	"Categories"	ds
00a0d2f8	ArticleHeaders	"ArticleHeaders"	ds
00a0d308	hotIssue	"hotIssue"	ds
00a0d314	updated	"updated"	ds
00a0d31c	articleCount	"articleCount"	ds
00a0d32c	SubCategories	"SubCategories"	ds
00a0d34c	&searchType=	"&searchType="	ds
00a0d35c	&languageId=	"&languageId="	ds
00a0d36c	?articleId=	"?articleId="	ds
00a0d378	sendKBArticleQuery.xml	"sendKBArticleQuery.xml"	ds
00a0d390	Article	"Article"	ds
00a0d398	subjectAlt	"subjectAlt"	ds
00a0d3a4	ArticleText	"ArticleText"	ds
00a0d3b0	keyword	"keyword"	ds
00a0d3b8	languageId	"languageId"	ds
00a0d3cc	KBSetup_GetLanguageCount() failed because setup is not loaded	"KBSetup_GetLanguageCount() failed because setup is not loaded"	ds
00a0d40c	KBSetup_GetLanguageData() called with invalid category index	"KBSetup_GetLanguageData() called with invalid category index"	ds
00a0d44c	KBSetup_GetLanguageData() failed because setup is not loaded	"KBSetup_GetLanguageData() failed because setup is not loaded"	ds
00a0d48c	KBSetup_GetCategoryCount() failed because setup is not loaded	"KBSetup_GetCategoryCount() failed because setup is not loaded"	ds
00a0d4cc	KBSetup_GetCategoryData() called with invalid category index	"KBSetup_GetCategoryData() called with invalid category index"	ds
00a0d50c	KBSetup_GetCategoryData() failed because setup is not loaded	"KBSetup_GetCategoryData() failed because setup is not loaded"	ds
00a0d550	KBSetup_GetArticleHeaderCount() failed because setup is not loaded	"KBSetup_GetArticleHeaderCount() failed because setup is not loaded"	ds
00a0d598	KBSetup_GetArticleHeaderData() called with invalid article header index	"KBSetup_GetArticleHeaderData() called with invalid article header index"	ds
00a0d5e0	KBSetup_GetArticleHeaderData() failed because setup is not loaded	"KBSetup_GetArticleHeaderData() failed because setup is not loaded"	ds
00a0d628	KBSetup_GetTotalArticleCount() failed because setup is not loaded	"KBSetup_GetTotalArticleCount() failed because setup is not loaded"	ds
00a0d670	KBQuery_GetArticleHeaderCount() failed because query is not loaded	"KBQuery_GetArticleHeaderCount() failed because query is not loaded"	ds
00a0d6b8	KBQuery_GetArticleHeaderData() called with invalid article header index	"KBQuery_GetArticleHeaderData() called with invalid article header index"	ds
00a0d700	KBQuery_GetArticleHeaderData() failed because query is not loaded	"KBQuery_GetArticleHeaderData() failed because query is not loaded"	ds
00a0d748	KBQuery_GetTotalArticleCount() failed because query is not loaded	"KBQuery_GetTotalArticleCount() failed because query is not loaded"	ds
00a0d78c	KBArticle_GetData() failed because article is not loaded	"KBArticle_GetData() failed because article is not loaded"	ds
00a0d7d8	languageId=	"languageId="	ds
00a0d7e4	categoryId=	"categoryId="	ds
00a0d7f0	searchQuery=	"searchQuery="	ds
00a0d800	sendKBQuery.xml	"sendKBQuery.xml"	ds
00a0d810	KBSetup_GetSubCategoryCount() failed because setup is not loaded	"KBSetup_GetSubCategoryCount() failed because setup is not loaded"	ds
00a0d858	KBSetup_GetSubCategoryData() called with invalid category or sub category index	"KBSetup_GetSubCategoryData() called with invalid category or sub category index"	ds
00a0d8a8	KBSetup_GetSubCategoryData() failed because setup is not loaded	"KBSetup_GetSubCategoryData() failed because setup is not loaded"	ds
00a0d8e8	KBQuery_BeginLoading() called with subcategory without category	"KBQuery_BeginLoading() called with subcategory without category"	ds
00a0d928	KBQuery_BeginLoading() called with a string > 128 bytes for search query	"KBQuery_BeginLoading() called with a string > 128 bytes for search query"	ds
00a0d978	KBQuery_BeginLoading() called with a null string for search query	"KBQuery_BeginLoading() called with a null string for search query"	ds
00a0d9bc	KBQuery_BeginLoading() failed because setup is not loaded	"KBQuery_BeginLoading() failed because setup is not loaded"	ds
00a0d9f8	IsListedInLFR	"IsListedInLFR"	ds
00a0da08	GetLFRChoiceOrder	"GetLFRChoiceOrder"	ds
00a0da1c	GetRandomDungeonBestChoice	"GetRandomDungeonBestChoice"	ds
00a0da38	GetLFGDungeonRewardLink	"GetLFGDungeonRewardLink"	ds
00a0da50	GetLFGDungeonRewardInfo	"GetLFGDungeonRewardInfo"	ds
00a0da68	GetLFGDungeonRewards	"GetLFGDungeonRewards"	ds
00a0da80	GetNumRandomDungeons	"GetNumRandomDungeons"	ds
00a0da98	RequestLFDPartyLockInfo	"RequestLFDPartyLockInfo"	ds
00a0dab0	RequestLFDPlayerLockInfo	"RequestLFDPlayerLockInfo"	ds
00a0dacc	GetLFDLockInfo	"GetLFDLockInfo"	ds
00a0dadc	GetLFDLockPlayerCount	"GetLFDLockPlayerCount"	ds
00a0daf4	GetLFDChoiceLockedState	"GetLFDChoiceLockedState"	ds
00a0db0c	GetLFDChoiceEnabledState	"GetLFDChoiceEnabledState"	ds
00a0db28	GetLFDChoiceCollapseState	"GetLFDChoiceCollapseState"	ds
00a0db44	GetLFDChoiceInfo	"GetLFDChoiceInfo"	ds
00a0db58	GetLFDChoiceOrder	"GetLFDChoiceOrder"	ds
00a0db6c	GetAvailableRoles	"GetAvailableRoles"	ds
00a0db80	UnitHasLFGDeserter	"UnitHasLFGDeserter"	ds
00a0db94	GetLFGDeserterExpiration	"GetLFGDeserterExpiration"	ds
00a0dbb0	UnitHasLFGRandomCooldown	"UnitHasLFGRandomCooldown"	ds
00a0dbcc	GetLFGRandomCooldownExpiration	"GetLFGRandomCooldownExpiration"	ds
00a0dbec	PartyLFGStartBackfill	"PartyLFGStartBackfill"	ds
00a0dc04	GetPartyLFGBackfillInfo	"GetPartyLFGBackfillInfo"	ds
00a0dc1c	CanPartyLFGBackfill	"CanPartyLFGBackfill"	ds
00a0dc30	IsInLFGDungeon	"IsInLFGDungeon"	ds
00a0dc40	GetLFGCompletionRewardItem	"GetLFGCompletionRewardItem"	ds
00a0dc5c	GetLFGCompletionReward	"GetLFGCompletionReward"	ds
00a0dc74	SetLFGDungeonEnabled	"SetLFGDungeonEnabled"	ds
00a0dc8c	SetLFGHeaderCollapsed	"SetLFGHeaderCollapsed"	ds
00a0dca4	IsLFGDungeonJoinable	"IsLFGDungeonJoinable"	ds
00a0dcbc	GetLFGRandomDungeonInfo	"GetLFGRandomDungeonInfo"	ds
00a0dcd4	GetLFGDungeonInfo	"GetLFGDungeonInfo"	ds
00a0dce8	GetLastQueueStatusIndex	"GetLastQueueStatusIndex"	ds
00a0dd00	GetLFGQueueStats	"GetLFGQueueStats"	ds
00a0dd14	SetLFGBootVote	"SetLFGBootVote"	ds
00a0dd24	GetLFGBootProposal	"GetLFGBootProposal"	ds
00a0dd38	RejectProposal	"RejectProposal"	ds
00a0dd48	AcceptProposal	"AcceptProposal"	ds
00a0dd58	GetLFGProposalEncounter	"GetLFGProposalEncounter"	ds
00a0dd70	GetLFGProposalMember	"GetLFGProposalMember"	ds
00a0dd88	GetLFGProposal	"GetLFGProposal"	ds
00a0dd98	CompleteLFGRoleCheck	"CompleteLFGRoleCheck"	ds
00a0ddb0	SetLFGRoles	"SetLFGRoles"	ds
00a0ddbc	GetLFGRoles	"GetLFGRoles"	ds
00a0ddc8	GetLFGRoleUpdateMember	"GetLFGRoleUpdateMember"	ds
00a0dde0	GetLFGRoleUpdateSlot	"GetLFGRoleUpdateSlot"	ds
00a0ddf8	GetLFGRoleUpdate	"GetLFGRoleUpdate"	ds
00a0de0c	GetLFGTypes	"GetLFGTypes"	ds
00a0de18	SearchLFGSort	"SearchLFGSort"	ds
00a0de28	SearchLFGGetPartyResults	"SearchLFGGetPartyResults"	ds
00a0de44	SearchLFGGetEncounterResults	"SearchLFGGetEncounterResults"	ds
00a0de64	SearchLFGGetResults	"SearchLFGGetResults"	ds
00a0de78	SearchLFGGetNumResults	"SearchLFGGetNumResults"	ds
00a0de90	SearchLFGLeave	"SearchLFGLeave"	ds
00a0dea0	SearchLFGGetJoinedID	"SearchLFGGetJoinedID"	ds
00a0deb8	SearchLFGJoin	"SearchLFGJoin"	ds
00a0dec8	RefreshLFGList	"RefreshLFGList"	ds
00a0ded8	LeaveLFG	"LeaveLFG"	ds
00a0dee4	JoinLFG	"JoinLFG"	ds
00a0deec	LFGTeleport	"LFGTeleport"	ds
00a0def8	SetLFGComment	"SetLFGComment"	ds
00a0df08	GetLFGQueuedList	"GetLFGQueuedList"	ds
00a0df1c	GetLFGInfoServer	"GetLFGInfoServer"	ds
00a0df30	GetLFGInfoLocal	"GetLFGInfoLocal"	ds
00a0df40	ClearAllLFGDungeons	"ClearAllLFGDungeons"	ds
00a0df54	ClearLFGDungeon	"ClearLFGDungeon"	ds
00a0df64	SetLFGDungeon	"SetLFGDungeon"	ds
00a0df74	LFG_TYPE_RANDOM_DUNGEON	"LFG_TYPE_RANDOM_DUNGEON"	ds
00a0df8c	LFG_TYPE_HEROIC_DUNGEON	"LFG_TYPE_HEROIC_DUNGEON"	ds
00a0dfa4	LFG_TYPE_ZONE	"LFG_TYPE_ZONE"	ds
00a0dfb4	LFG_TYPE_QUEST	"LFG_TYPE_QUEST"	ds
00a0dfc4	LFG_TYPE_RAID	"LFG_TYPE_RAID"	ds
00a0dfd4	LFG_TYPE_DUNGEON	"LFG_TYPE_DUNGEON"	ds
00a0dfe8	LFG_TYPE_NONE	"LFG_TYPE_NONE"	ds
00a0dff8	Usage: GetLFGProposalMember(index)	"Usage: GetLFGProposalMember(index)"	ds
00a0e01c	Usage: SearchLFGGetEncounterResults(index, encounterIndex)	"Usage: SearchLFGGetEncounterResults(index, encounterIndex)"	ds
00a0e058	Usage: GetLFGProposalEncounter(index)	"Usage: GetLFGProposalEncounter(index)"	ds
00a0e080	Usage: GetLFGRoleUpdateSlot(index)	"Usage: GetLFGRoleUpdateSlot(index)"	ds
00a0e0a4	Usage: GetLFGRoleUpdateMember(index)	"Usage: GetLFGRoleUpdateMember(index)"	ds
00a0e0cc	Usage: GetLFDChoiceOrder([table])	"Usage: GetLFDChoiceOrder([table])"	ds
00a0e0f0	Usage: GetLFRChoiceOrder([table])	"Usage: GetLFRChoiceOrder([table])"	ds
00a0e14f	@Usage: GetLFDChoiceInfo([table])	"@Usage: GetLFDChoiceInfo([table])"	ds
00a0e174	Usage: GetLFGDungeonInfo(dungeonID)	"Usage: GetLFGDungeonInfo(dungeonID)"	ds
00a0e198	Usage: GetLFGRandomDungeonInfo(index)	"Usage: GetLFGRandomDungeonInfo(index)"	ds
00a0e1c0	.\LFGInfo.cpp	".\\LFGInfo.cpp"	ds
00a0e1d0	Usage: UnitHasLFGRandomCooldown("unit")	"Usage: UnitHasLFGRandomCooldown(\"unit\")"	ds
00a0e1f8	Usage: UnitHasLFGDeserter("unit")	"Usage: UnitHasLFGDeserter(\"unit\")"	ds
00a0e21c	Usage: SearchLFGGetResults(index)	"Usage: SearchLFGGetResults(index)"	ds
00a0e240	Usage: SearchLFGGetPartyResults(index, partyIndex)	"Usage: SearchLFGGetPartyResults(index, partyIndex)"	ds
00a0e274	friend	"friend"	ds
00a0e27c	ignored	"ignored"	ds
00a0e284	Usage: GetLFDChoiceCollapseState([table])	"Usage: GetLFDChoiceCollapseState([table])"	ds
00a0e2b0	Usage: GetLFDChoiceEnabledState([table])	"Usage: GetLFDChoiceEnabledState([table])"	ds
00a0e2dc	Usage: SetLFGHeaderCollapsed(headerID, isCollapsed)	"Usage: SetLFGHeaderCollapsed(headerID, isCollapsed)"	ds
00a0e310	Usage: SetLFGDungeonEnabled(dungeonID, isEnabled)	"Usage: SetLFGDungeonEnabled(dungeonID, isEnabled)"	ds
00a0e344	Usage: GetLFDQueuedList([table])	"Usage: GetLFDQueuedList([table])"	ds
00a0e368	Usage: GetLFDChoiceLockedState([table])	"Usage: GetLFDChoiceLockedState([table])"	ds
00a0e390	Usage: GetLFDLockInfo(dungeonID, playerIndex)	"Usage: GetLFDLockInfo(dungeonID, playerIndex)"	ds
00a0e3c0	Usage: GetLFGDungeonRewards(dungeonID)	"Usage: GetLFGDungeonRewards(dungeonID)"	ds
00a0e3e8	Usage: GetLFGDungeonRewardInfo(dungeonID, lootIndex)	"Usage: GetLFGDungeonRewardInfo(dungeonID, lootIndex)"	ds
00a0e420	Usage: GetLFGDungeonRewardLink(dungeonID, lootIndex)	"Usage: GetLFGDungeonRewardLink(dungeonID, lootIndex)"	ds
00a0e458	Usage: GetLFGCompletionRewardItem(index)	"Usage: GetLFGCompletionRewardItem(index)"	ds
00a0e488	d:\buildserver\wow\1\work\wow-code\branches\wow-patch-3_3_5_a-bnet\wow\source\ui\LFGInfo.h	"d:\\buildserver\\wow\\1\\work\\wow-code\\branches\\wow-patch-3_3_5_a-bnet\\wow\\source\\ui\\LFGInfo.h"	ds
00a0e4e4	Usage: SearchLFGJoin(typeID, lfgID)	"Usage: SearchLFGJoin(typeID, lfgID)"	ds
00a0e508	Usage: ClearLFGDungeon(type, id)	"Usage: ClearLFGDungeon(type, id)"	ds
00a0e52c	Usage: SetLFGDungeon(type)	"Usage: SetLFGDungeon(type)"	ds
00a0e548	Usage: IsLFGDungeonJoinable(dungeonID)	"Usage: IsLFGDungeonJoinable(dungeonID)"	ds
00a0e590	LFGMessage: LFG_PARTY_INFO	"LFGMessage: LFG_PARTY_INFO"	ds
00a0e5ac	LFGMessage: MSG_LFG_PLAYER_INFO	"LFGMessage: MSG_LFG_PLAYER_INFO"	ds
00a0e5d0	LFGMessage: LFG_BOOT_PLAYER - In Progress: %d, I Voted: %d, My Vote: %d, Target: %016I64X, Total Votes: %u, Boot Votes: %u, Time Left: %d, Votes Needed: %u, Comment: %s	"LFGMessage: LFG_BOOT_PLAYER - In Progress: %d, I Voted: %d, My Vote: %d, Target: %016I64X, Total Votes: %u, Boot Votes: %u, Time Left: %d, Votes Needed: %u, Comment: %s"	ds
00a0e680	LFGMessage: LFG_QUEUE_STATUS - LFGID: %d, Wait: %d, Wait Tanks: %d, Wait Healer: %d, Wait DPS: %d, Tanks Needed: %d, Healers Needed: %d, DPS Needed: %d	"LFGMessage: LFG_QUEUE_STATUS - LFGID: %d, Wait: %d, Wait Tanks: %d, Wait Healer: %d, Wait DPS: %d, Tanks Needed: %d, Healers Needed: %d, DPS Needed: %d"	ds
00a0e718	LFGMessage: LFG_JOIN_RESULT - Result: %u, Reason: %u	"LFGMessage: LFG_JOIN_RESULT - Result: %u, Reason: %u"	ds
00a0e750	LFGMessage: ROLE_CHOSEN - GUID: %016I64X, Accepted: %d, Roles Desired: %x	"LFGMessage: ROLE_CHOSEN - GUID: %016I64X, Accepted: %d, Roles Desired: %x"	ds
00a0e79c	%s%b%b%b	"%s%b%b%b"	ds
00a0e7a8	LFGMessage: LFG_ROLE_CHECK_UPDATE - Status: %u, Is Beginning: %d, Count: %d	"LFGMessage: LFG_ROLE_CHECK_UPDATE - Status: %u, Is Beginning: %d, Count: %d"	ds
